,LLT -   15.0°-17.50m/s, , 
   -0.7526185,     0.3785197, , 
   -0.7247051,     0.6646964, , 
    -0.678947,     0.8719601, , 
   -0.6164709,      1.033291, , 
   -0.5388154,      1.180839, , 
   -0.4478924,      1.332191, , 
   -0.3459408,      1.488906, , 
   -0.2354709,      1.643784, , 
   -0.1192031,      1.783758, , 
-1.231045e-15,      1.866205, , 
    0.1192031,      1.783758, , 
    0.2354709,      1.643784, , 
    0.3459408,      1.488906, , 
    0.4478924,      1.332191, , 
    0.5388154,      1.180839, , 
    0.6164709,      1.033291, , 
     0.678947,     0.8719601, , 
    0.7247051,     0.6646964, , 
    0.7526185,     0.3785197, , 

